a52dec 0.7.4-6
p11-kit 0.12-1
p7zip 9.20.1-6
pacman 4.0.3-1
pacman-mirrorlist 20120211-1
pam 1.1.5-2
pango 1.29.4-1
pango-perl 1.223-1
pangomm 2.28.4-1
parted 3.1-1
patch 2.6.1-3
pciutils 3.1.9-1
pcmciautils 018-4
pcre 8.30-1
perl 5.14.2-7
perl-anyevent 2:6.13-1
perl-async-interrupt 1.05-1
perl-common-sense 3.4-1
perl-digest-sha1 2.13-2
perl-encode-locale 1.03-1
perl-error 0.17017-1
perl-ev 4.03-1
perl-event 1.20-1
perl-event-execflow 0.64-3
perl-file-listing 6.04-1
perl-gtk2-ex-formfactory 0.67-1
perl-guard 1.022-1
perl-html-parser 3.69-1
perl-html-tagset 3.20-3
perl-http-cookies 6.01-1
perl-http-daemon 6.00-1
perl-http-date 6.01-1
perl-http-message 6.03-1
perl-http-negotiate 6.01-1
perl-io-socket-ssl 1.59-1
perl-libintl-perl 1.20-3
perl-libwww 6.04-1
perl-lwp-mediatypes 6.02-1
perl-net-http 6.03-1
perl-net-ssleay 1.47-1
perl-passwd-md5 1.3-5
perl-tk 804.030-2
perl-uri 1.59-1
perl-www-robotrules 6.02-1
perl-xml-parser 2.41-2
perl-xml-simple 2.18-4
phonon 1:4.6.0-2
phonon-gstreamer 4.6.0-1
phonon-vlc 0.5.0-1
phonon-xine 4.4.4-1
php 5.3.10-4
php-docs 5.3.8-1
pidgin 2.10.3-1
pidgin-libnotify 0.14-5
pinentry 0.8.1-3
pixman 0.24.4-1
pkg-config 0.26-2
pm-quirks 0.20100619-2
pm-utils 1.4.1-4
pmount 0.9.23-3
polkit 0.104-1
polkit-gnome 0.105-1
polkit-qt 0.103.0-1
poppler 0.18.4-1
poppler-data 0.4.5-1
poppler-glib 0.18.4-1
poppler-qt 0.18.4-1
popt 1.16-4
postgresql 9.1.3-1
postgresql-libs 9.1.3-1
ppl 0.12-1
ppp 2.4.5-3
pptpclient 1.7.2-4
printproto 1.0.5-2
procinfo-ng 2.0.304-3
procps 3.2.8-4
prosper 1.5-2
psiconv 0.9.8-9
psmisc 22.16-1
pth 2.0.7-4
pulseaudio 1.1-2
pulseaudio-alsa 2-1
purple-plugin-pack 2.7.0-1
pyatspi 2.2.1-1
pygobject-devel 3.0.3-1
pygobject2-devel 2.28.6-4
pygtk 2.24.0-3
pygtksourceview2 2.10.1-4
pyid3lib 0.5.1-7
pyorbit 2.24.0-4
pyrex 0.9.9-3
python 3.2.2-2
python-bugbuddy 2.32.0-6
python-distribute 0.6.25-1
python-evince 2.32.0-4
python-evolution 2.32.0-9
python-feedparser 5.1.1-1
python-gdata 2.0.16-1
python-gnomeapplet 2.32.0-4
python-gnomedesktop 2.32.0-9
python-gnomekeyring 2.32.0-9
python-gnomeprint 2.32.0-8
python-gtksourceview 2.32.0-4
python-gtop 2.32.0-9
python-imaging 1.1.7-4
python-mediaprofiles 2.32.0-4
python-metacity 2.32.0-9
python-nose 1.1.2-3
python-notify 0.1.1-11
python-numeric 24.2-4
python-pysqlite 2.6.3-2
python-rsvg 2.32.0-9
python-sgmllib 5.1.1-1
python-totem-plparser 2.32.0-9
python-wnck 2.32.0-9
python2 2.7.2-5
python2-bonobo 2.28.1-8
python2-cairo 1.10.0-1
python2-distribute 0.6.25-1
python2-egg 2.25.3-12
python2-gconf 2.28.1-8
python2-gda 2.25.3-10
python2-gdl 2.25.3-9
python2-gksu2 2.25.3-12
python2-gnomecanvas 2.28.1-8
python2-gnomevfs 2.28.1-8
python2-gobject 3.0.3-1
python2-gobject2 2.28.6-4
python2-gtkhtml2 2.25.3-12
python2-gtkmozembed 2.25.3-9
python2-gtkspell 2.25.3-12
python2-libgnome 2.28.1-8
python2-numpy 1.6.1-1
python2-pychm 0.8.4-1
pyxdg 0.19-3
qca 2.0.3-2
qjson 0.7.1-2
qt 4.8.1-2
qt3 1:3.3.8b-1
qtcurve-gtk2 1.8.14-1
qtscriptgenerator 0.1.0-5
qtwebkit 2.2.1-2
randrproto 1.3.2-2
raptor 2.0.7-1
rarian 0.8.1-2
rasqal 1:0.9.28-1
rdesktop 1.7.1-2
readline 6.2.002-2
recode 3.6-7
recordproto 1.14.2-1
redland 1:1.0.15-3
redland-storage-virtuoso 1:1.0.15-3
reiserfsprogs 3.6.21-4
renderproto 0.11.1-2
rest 0.7.12-1
ristretto 0.3.6-1
rp-pppoe 3.10-7
rpcbind 0.2.0-6
rrdtool 1.4.7-1
rsvg2-sharp 2.26.0-8
rsync 3.0.9-2
rtkit 0.10-3
rtmpdump 2.4-1
ruby 1.9.3_p125-4
ruby-atk 1.1.2-2
ruby-cairo 1.10.0-3
ruby-gdkpixbuf2 1.1.2-2
ruby-glib2 1.1.2-2
ruby-gnome2 0.19.4-1
ruby-gnomecanvas 0.19.3-3
ruby-gtk2 1.1.2-2
ruby-libart 0.19.3-2
ruby-pango 1.1.2-2
ruby-rcairo 1.8.0-2
run-parts 4.2.1-1
sane 1.0.22-7
saxon 9.3.0.4-2
sbackup 0.10.5-1
schroedinger 1.0.11-1
scim 1.4.11-2
scim-m17n 0.2.3-4
scons 2.1.0-2
scrnsaverproto 1.2.2-1
sdl 1.2.15-1
sdl_image 1.2.12-2
sdparm 1.07-1
sed 4.2.1-4
sg3_utils 1.33-1
shadow 4.1.5-4
shared-color-profiles 0.1.5-1
shared-desktop-ontologies 0.9.0-1
shared-mime-info 1.0-1
silc-toolkit 1.1.10-1
skype 2.2.0.35-3
slim 1.3.2-7
slim-themes 1.2.3-5
smbclient 3.6.4-1
smplayer 0.8.0-1
smplayer-themes 20120131-1
soprano 2.7.5-1
sound-theme-freedesktop 0.7-2
soundtouch 1.6.0-1
sox 14.3.2-6
speex 1.2rc1-2
